ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT001,panaržəbəj bar ,,panar-žə-bəj bar,kiss-OPT.DU-1DU PTCL,Let's kiss each other!,Gusev et al. 2023:PKZ_196X_SU0203.PKZ.147 (148)
UT002,noʔ deʔpiʔi šide tibi,,noʔ deʔ-pi-ʔi šide tibi,grass bring-PST-3PL two man,Two men brought grass,Gusev et al. 2023:PKZ_196X_SU0221.031 (031)
UT005,urgo sagər măjagən kubi: maʔ nuga,,urgo sagər măja-gən ku-bi: maʔ nu-ga,big black mountain-LOC see-PST tent stand-PRS,On the big black mountain he saw: a tent is standing,Gusev et al. 2023:AIN_1912_Frogwoman_flk.032 (003.003) AIN_1912_Frogwoman_flk.033 (003.004)
UT008,kamǝn măn amorbińi dĭ šobi,,kamǝn măn amor-bi-ńi dĭ šo-bi,when 1SG.NOM/GEN eat-PTCP-LAT.LOC.POSS.1SG DEM come-PST,He came while I was eating,Klumpp 2016:56
UT010-1,ibiiʔ idǝm,,i-bi-iʔ idǝ-m,take-PST-3PL DEM-ACC,They took that one,Klumpp 2016:68
UT010-2,neťaktǝ săbǝjʔleibi,,ne-ťaktǝ săbǝjʔ=lei-bi,woman.old take.out=DIRECT-PST,He took out a woman’s dead body,Klumpp 2016:69
UT012,deʔ măna amzittə kaška!,,de-ʔ măna am-zittə kaška,give-IMP.2SG 1SG.LAT eat-INF.LAT porridge,Give me some porridge to eat!,Gusev et al. 2023:PKZ_196X_Ducks_flk.050 (052)
UT014,"dĭ nüke kambi, kambi, iššo maʔ kubi",,"dĭ nüke kam-bi, kam-bi, iššo maʔ ku-bi",DEM wife go-PST go-PST else tent see-PST,"The woman went, went, found another tent.",Klumpp 2016:78
UT017,üʔmǝl,,üʔmǝ=l,run=FRQ,To run frequently,Klumpp 2016:57
UT018,šolaʔ iʔbəne kuza,,šo-laʔ iʔbə-ne kuza,come-CV lie-PTCP person,An approaching person,Klumpp 2016:60
UT020,ťorlal,,ťor-la-l,cry-FUT-2SG,You will cry,Klumpp 2016:56
UT021,maʔǝndǝ šobīza ijāndǝ nörbǝlie,,maʔ-ǝndǝ šo-bīza ijāndǝ nörbǝ-lie,home-LAT.LOC.POSS.3SG come-CVB.ANT mother.LAT.LOC.POSS.3SG tell-PRS,After he has come home he tells his mother,Klumpp 2016:55
UT023,elǝm,,e-lǝ-m,NEG-FUT-1SG,I won't,Klumpp 2016:53
UT024,kubindǝ maʔ nuga,,ku-bi-n-dǝ maʔ nu-ga,see-PTCP-LAT.LOC-POSS.3SG tent stand-3SG,"As it sees (literally: in its seeing), there is a tent standing",Klumpp 2024:121
UT025,tāŋgu ńeʔbdənzəliem,,tāŋgu ńeʔbdə=nzə-lie-m,tobacco pull=DES-PRS-1SG,I want to smoke tobacco,Klumpp 2016:69
UT026,kandamze,,kan-da-m=ze,go-PTCP-1SG=PTCL,I would go,Klumpp 2016:50
UT031,pusʼ amnogəj!,,pusʼ amno-gə-j,PTCL sit-IMP-3SG,Let him/her sit!,Gusev et al. 2023:PKZ_19700821_09340-1bz.PKZ.134 (178)
UT032,pargǝštim,,pargǝ-šti-m,carve-IMP-1SG,Let me carve!,Klumpp 2016:52
UT039,dĭzeŋ dʼaʔpiʔi multuksi!,,dĭz-eŋ dʼaʔ-pi-ʔi multuk-si,DEM-PL capture-PST-3PL gun-INS,They were hunted with a gun,Gusev et al. 2023:PKZ_1970_F0205-01.PKZ.048 (060)
UT042,miʔ kuzan nada nejzittə,,miʔ kuza-n nada nej-zittə,1PL.GEN man-GEN PTCL marry-INF.LAT,Our man needs to marry,Gusev et al. 2023:PKZ_196X_Princess_flk.034 (034)
UT044,ejümnie,,ejüm-nie,become.warm-PRS.3SG,It becomes warm,Gerson Klumpp (p.c. 2024)
UT046,šindidə ibi dĭgən,,šindi-də i-bi dĭ-gən,who-INDF be-PST DEM-LOC,Somebody was here,Gusev et al. 2023:AA_1914_Head_flk.016 (002.014)
UT047,šində dön?,,šində dön,who here,Who is here?,Gusev et al. 2023:PKZ_19700821_09340-1bz.PKZ.204 (256)
UT048-1,koʔbdo da nʼi,,koʔbdo da nʼi,girl and boy,A girl and a boy,Gusev et al. 2023:PKZ_1964_SU0205.PKZ.246 (053.003)
UT048-2,ertə oʔbdəbiam da šü nendəbiem,,ertə oʔbdə-bia-m da šü nendə-bie-m,early collect-PST-1SG and fire light-PST-1SG,I got up early and lit fire,Gusev et al. 2023:PKZ_196X_SU0215.054 (057)
UT049,mańǝkkǝn ne naga,,mańǝk-kǝn ne naga.,near-LOC woman NEG.EXIST,There is no woman around here,Klumpp 2016:67
UT051,"miʔ mandəbilaʔpəbaʔ, štobɨ menzeŋ tănan ej ambiʔi",,"miʔ mandəbi-laʔpə-baʔ, štobɨ men-zeŋ tănan ej am-bi-ʔi",1PL look-PST-DUR-1PL that dog-PL 2SG.ACC NEG eat-PST-3PL,We looked that the dogs would not eat you,Gusev et al. 2023:PKZ_196X_FoxAndDogs_flk.007 (008)
UT053,mĭŋgǝldǝžǝt külāmbi,,mĭŋgǝl=dǝ=žǝt kü=lām-bi,move=TR-CAR die=RES-PST,died without making a move,Klumpp 2016:55
UT055-1,mal kadardǝna kuza,,mal kadardǝ-na kuza,cattle herd-PTCP man,A cattle herding person,Klumpp 2016:54
UT055-2,amorona ine,,amor=o-na ine,eat-INTR-PTCP,Eaten horse,Klumpp 2016:54
